
====================================================
   STRUCTURAL ANALYSIS STACK INITIALIZED             
====================================================
Control:    Scenario Manager Active
Usage:      run_scenario('file.pl', interval_id).
====================================================
LOAD	960
CTRL_GROUND_FACTS	1903
OBSTRUCT	npt_article_iv_vi_pairing	real_closure
OBSTRUCT	npt_treaty_1970	licensed_plurality
OBSTRUCT	npt_treaty_text	licensed_plurality
OBSTRUCT	nsl_legal_text	licensed_plurality
OBSTRUCT	nuclear_impossibility_kernel	licensed_plurality
OBSTRUCT	one_country_two_systems_framework	real_closure
OBSTRUCT	orthographic_kernel	real_closure
OBSTRUCT	orthographic_legitimacy_kernel	real_closure
OBSTRUCT	ost_article_ii_non_appropriation	real_closure
OBSTRUCT	paris_article_4_ndc	real_closure
OBSTRUCT	performance_legitimacy	licensed_plurality
OBSTRUCT	permissive_license_text	licensed_plurality
OBSTRUCT	personhood_boundary	real_closure
OBSTRUCT	plural_marriage_mandate	real_closure
OBSTRUCT	preparedness_commitment	real_closure
OBSTRUCT	preparedness_persistence	licensed_plurality
OBSTRUCT	preparedness_retention	real_closure
OBSTRUCT	preparedness_transmission	real_closure
OBSTRUCT	press_reformation_causality	real_closure
OBSTRUCT	press_reformation_causation	singleton
OBSTRUCT	price_formation_kernel	real_closure
OBSTRUCT	provincial_sovereignty_boundary	real_closure
OBSTRUCT	public_health_mandate_authority	real_closure
OBSTRUCT	qualified_immunity_doctrine	licensed_plurality
OBSTRUCT	quantum_formalism	real_closure
OBSTRUCT	quran_9_5_scope	real_closure
OBSTRUCT	quran_hadith_substrate	real_closure
OBSTRUCT	quran_ontological_status	real_closure
OBSTRUCT	quranic_gender_verses	real_closure
OBSTRUCT	qwerty_persistence	licensed_plurality
OBSTRUCT	qwerty_persistence_inevitability	licensed_plurality
OBSTRUCT	qwerty_persistence_mechanism	real_closure
OBSTRUCT	rbio_practice_norm_complex	real_closure
OBSTRUCT	reading_acquisition_legitimacy	licensed_plurality
OBSTRUCT	reading_acquisition_mechanism	real_closure
OBSTRUCT	reformation_composite	untyped
OBSTRUCT	reformation_event_boundary	real_closure
OBSTRUCT	refugee_convention_text	untyped
OBSTRUCT	remonstrance_authority	real_closure
OBSTRUCT	rfc9293_tcp_specification	real_closure
OBSTRUCT	rogers_commission_findings	real_closure
OBSTRUCT	rome_statute_jurisdiction	real_closure
OBSTRUCT	sacrifice_commandment	licensed_plurality
OBSTRUCT	sacrifice_obligation_continuity	real_closure
OBSTRUCT	sacrifice_obligation_kernel	real_closure
OBSTRUCT	salic_prohibition	real_closure
OBSTRUCT	script_as_identity	real_closure
OBSTRUCT	secession_legitimacy_boundary	real_closure
OBSTRUCT	second_amendment_arms_right	real_closure
OBSTRUCT	second_amendment_boundary	real_closure
OBSTRUCT	second_amendment_scope	real_closure
OBSTRUCT	second_amendment_text	real_closure
OBSTRUCT	separation_of_powers_text	real_closure
OBSTRUCT	sex_gender_category	real_closure
OBSTRUCT	shinbutsu_coexistence_commitment	real_closure
OBSTRUCT	shinbutsu_ontological_commitment	real_closure
OBSTRUCT	shinbutsu_ontological_substrate	real_closure
OBSTRUCT	simultaneous_veneration	real_closure
OBSTRUCT	software_control_legitimacy	real_closure
OBSTRUCT	software_source_status	real_closure
OBSTRUCT	sovereign_legitimacy	real_closure
OBSTRUCT	speech_harm_boundary	real_closure
OBSTRUCT	speech_protection_boundary	real_closure
OBSTRUCT	speech_protection_kernel	licensed_plurality
OBSTRUCT	state_commitment_installation_mechanism	real_closure
OBSTRUCT	state_execution_authority	real_closure
OBSTRUCT	state_killing_authority	real_closure
OBSTRUCT	state_killing_legitimacy	licensed_plurality
OBSTRUCT	statute_of_anne_ip_foundation	licensed_plurality
OBSTRUCT	statutory_debt_ceiling	real_closure
OBSTRUCT	stone_land_use_rule	real_closure
OBSTRUCT	structural_adjustment_conditionalities	licensed_plurality
OBSTRUCT	substance_control_authority	real_closure
OBSTRUCT	substance_control_kernel	real_closure
OBSTRUCT	substance_control_legitimacy	real_closure
OBSTRUCT	supermajority_threshold	licensed_plurality
OBSTRUCT	takings_clause_boundary	licensed_plurality
OBSTRUCT	tcp_ip_interpretation	licensed_plurality
OBSTRUCT	technology_legitimacy_kernel	licensed_plurality
OBSTRUCT	technology_reformation_causality	real_closure
OBSTRUCT	temple_sacrifice_commitment	real_closure
OBSTRUCT	temple_sacrifice_obligation	licensed_plurality
OBSTRUCT	tenure_contract	licensed_plurality
OBSTRUCT	territorial_legitimacy	real_closure
OBSTRUCT	territorial_legitimacy_dual	real_closure
OBSTRUCT	territorial_sovereignty_legitimacy	real_closure
OBSTRUCT	tordesillas_demarcation_kernel	licensed_plurality
OBSTRUCT	total_war_possibility_space	real_closure
OBSTRUCT	total_war_reachability_boundary	real_closure
OBSTRUCT	total_war_winnability_post1945	licensed_plurality
OBSTRUCT	transition_causality	real_closure
OBSTRUCT	treaty_authority_cession	real_closure
OBSTRUCT	trips_agreement_interpretive_kernel	real_closure
OBSTRUCT	tsunami_stone_commitment	real_closure
OBSTRUCT	turkish_graphemic_substrate	real_closure
OBSTRUCT	udhr_article_3	licensed_plurality
OBSTRUCT	udhr_authority	real_closure
OBSTRUCT	unclos_maritime_sovereignty	real_closure
OBSTRUCT	unclos_sovereignty_boundary	real_closure
OBSTRUCT	unconditional_income_support	licensed_plurality
OBSTRUCT	unsc_242_withdrawal_clause	real_closure
OBSTRUCT	us_constitution_1787	real_closure
OBSTRUCT	us_constitution_interpretive	licensed_plurality
OBSTRUCT	us_constitution_meaning	real_closure
OBSTRUCT	us_constitution_text	licensed_plurality
OBSTRUCT	usul_al_fiqh_method	licensed_plurality
OBSTRUCT	vaccine_mandate_balance	real_closure
OBSTRUCT	vaccine_mandate_legitimacy	real_closure
OBSTRUCT	valuation_legitimacy	licensed_plurality
OBSTRUCT	vatican_ii_authority	real_closure
OBSTRUCT	vatican_ii_doctrinal_authority	real_closure
OBSTRUCT	vatican_ii_magisterial_authority	real_closure
OBSTRUCT	vedic_corpus_social_prescription	real_closure
OBSTRUCT	vedic_dharmic_corpus	real_closure
OBSTRUCT	versailles_reparations_clauses	real_closure
OBSTRUCT	waitangi_sovereignty_allocation	real_closure
OBSTRUCT	war_powers_allocation	real_closure
OBSTRUCT	war_winnability_post_1945	real_closure
OBSTRUCT	westphalia_sovereignty	real_closure
OBSTRUCT	westphalian_sovereignty	licensed_plurality
OBSTRUCT	woman_category	real_closure
OBSTRUCT	woman_female_category	real_closure
OBSTRUCT	wto_dsb_authority	real_closure
OBSTRUCT	wto_treaty_framework	licensed_plurality
OBSTRUCT	zero_as_number_entry	real_closure
OBSTRUCT	zero_mathematical_status	singleton
OBSTRUCT	zionist_legitimacy_basis	real_closure
